businessID,neighborhoodName,businessID,address,businessName,photoURL,city,state,url,reviewCount,stars,longitude,latitude
2O6daloCkf6fYhSTVIR9gw,University City,2O6daloCkf6fYhSTVIR9gw,"3451 Walnut StUniversity CityPhiladelphia, PA 19104",University of Pennsylvania,http://s3-media3.ak.yelpcdn.com/bphoto/uRN5WC1GA3A8TkIwqfOD_A/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/university-of-pennsylvania-philadelphia,33,4,-75.19389,39.953115
2PWmnUV2Leb2Loj0TqxCMA,University City,2PWmnUV2Leb2Loj0TqxCMA,"3401 Walnut StUniversity CityPhiladelphia, PA 19104",Mad Mex,http://s3-media1.ak.yelpcdn.com/bphoto/8WLcP1XXfwtZYzZiQwSHVg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/mad-mex-philadelphia,281,3,-75.193026,39.952998
2Z7vV_BUcNaGYXikJqq-Lw,University City,2Z7vV_BUcNaGYXikJqq-Lw,"3800 Spruce StUniversity CityPhiladelphia, PA 19104",Veterinary Hospital University of Pennsylvania,http://s3-media3.ak.yelpcdn.com/bphoto/5oGrQj_JlGtHTGmkq7iF5g/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/veterinary-hospital-university-of-pennsylvania-philadelphia,36,3.5,-75.199939,39.95113
3-ohG1LYG5gi_9pTjsAJew,University City,3-ohG1LYG5gi_9pTjsAJew,"4202 Baltimore AveUniversity CityPhiladelphia, PA 19104",Royal Pizza,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/royal-pizza-philadelphia,5,3.5,-75.2073661,39.9497747
36HMRe3BEosMibeOqevXjQ,University City,36HMRe3BEosMibeOqevXjQ,"8910 University Center LnSte 800University CitySan Diego, CA 92122",Gordon-Weiss-Schanzlin,http://s3-media4.ak.yelpcdn.com/bphoto/StHagCA2mRqCPoXdtTFstw/ms.jpg,San Diego,CA,http://www.yelp.com/biz/gordon-weiss-schanzlin-san-diego,31,4.5,-117.2268717,32.8709781
3gVSrS4kffGGZT8oXHsIcw,University City,3gVSrS4kffGGZT8oXHsIcw,"3636 Sansom StUniversity CityPhiladelphia, PA 19104",Pod,http://s3-media3.ak.yelpcdn.com/bphoto/VRMtFPTTUbWatjeVSqcp_A/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/pod-philadelphia,332,3.5,-75.1954898,39.9539924
3w7K5UopSE-BRtB3FQ8bBw,University City,3w7K5UopSE-BRtB3FQ8bBw,"University of Pennsylvania1920 Commons BuildingUniversity CityPhiladelphia, PA 19104",Jamba Juice,http://s3-media3.ak.yelpcdn.com/bphoto/p-7HhbXx9_E7goSFAXQQYA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/jamba-juice-philadelphia,3,1.5,-75.1994966,39.9519037
3YDXcj6vfpIDej7cULGh8A,University City,3YDXcj6vfpIDej7cULGh8A,"3400 Spruce StUniversity CityPhiladelphia, PA 19104",Hospital of the University of Pennsylvania,http://s3-media1.ak.yelpcdn.com/bphoto/kgvLK-E7NSW1LGt2YEpTMw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/hospital-of-the-university-of-pennsylvania-philadelphia,20,3,-75.1931012,39.9500166
45ClmqPAagmNvdUojFULZA,University City,45ClmqPAagmNvdUojFULZA,"3925 Walnut StUniversity CityPhiladelphia, PA 19104",Sweetgreen,http://s3-media4.ak.yelpcdn.com/bphoto/kcvdXKfyDiSziAjnlZRw3g/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/sweetgreen-philadelphia,42,3.5,-75.201935,39.954332
47qVw25eTyGXMVQe83ypVg,University City,47qVw25eTyGXMVQe83ypVg,"33rd and Chestnut StUniversity CityPhiladelphia, PA 19104",Seasons at Drexel,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/seasons-at-drexel-philadelphia,2,2.5,-75.1897392,39.954074
4q4huGL_tQj1XpRB8P5F6A,University City,4q4huGL_tQj1XpRB8P5F6A,"34th St & Civic CtrUniversity CityPhiladelphia, PA 19102",Children's Hospital of Philadelphia,http://s3-media1.ak.yelpcdn.com/bphoto/YlXtCauFVUXNLNOALfRsiA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/childrens-hospital-of-philadelphia-philadelphia-2,7,4.5,-75.192923,39.9488219
4RMHlggaIdNibPUJPVEd6w,University City,4RMHlggaIdNibPUJPVEd6w,"2955 Market St30th Street StationUniversity CityPhiladelphia, PA 19104",Bridgewater's Pub,http://s3-media4.ak.yelpcdn.com/bphoto/7Bgp_bAaCmKyxqEpyAqUSg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/bridgewaters-pub-philadelphia,44,4,-75.1825258,39.9547514
4tgm6KADoZz_hbukxqK7sA,University City,4tgm6KADoZz_hbukxqK7sA,"3400 Civic Center BlvdUniversity CityPhiladelphia, PA 19104",Gia Pronto,http://s3-media2.ak.yelpcdn.com/bphoto/Mw_QNLQ5MS84tKG4xf7Ebw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/gia-pronto-philadelphia-4,9,3.5,-75.192275,39.947617
4TRaSx4vcKfhm9Jx-heiqg,University City,4TRaSx4vcKfhm9Jx-heiqg,"4145 Chestnut StUniversity CityPhiladelphia, PA 19104",Cleopatra Cafe,http://s3-media1.ak.yelpcdn.com/bphoto/fLZRVQ71lAyPb6AYZG3pFA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/cleopatra-cafe-philadelphia,10,3.5,-75.206101,39.9561262
4z0UaiBBP3BN4cBv3Q6RuQ,University City,4z0UaiBBP3BN4cBv3Q6RuQ,"27 S 40th StUniversity CityPhiladelphia, PA 19104",Tradewinds Aquarium and Pet Center,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/tradewinds-aquarium-and-pet-center-philadelphia,14,2,-75.2020672,39.956244
4zEqYybRD1FQssLGaJnNZA,University City,4zEqYybRD1FQssLGaJnNZA,"3801 Chestnut StUniversity CityPhiladelphia, PA 19104",The Blockley,http://s3-media3.ak.yelpcdn.com/bphoto/ibdXJ6BdymuwS3jS4WE0ug/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/the-blockley-philadelphia,46,3.5,-75.198948,39.955642
54PqEp2wL_ErcDAA98z2Zg,University City,54PqEp2wL_ErcDAA98z2Zg,"8540 Costa Verde BlvdSte 4532University CitySan Diego, CA 92122",Ku Kustoms,http://s3-media2.ak.yelpcdn.com/bphoto/5ksMJd67yNAA5ZZYkY9PUQ/ms.jpg,San Diego,CA,http://www.yelp.com/biz/ku-kustoms-san-diego,3,4.5,-117.21822,32.868621
57uzQrzESTbK9U71Laf9qQ,University City,57uzQrzESTbK9U71Laf9qQ,"3205 Lancaster AvePowelton VillagePhiladelphia, PA 19104",33rd Street Armory,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/33rd-street-armory-philadelphia,4,3.5,-75.188673,39.956445
5hd25dj-giXxLlgdwaVA4Q,University City,5hd25dj-giXxLlgdwaVA4Q,"3549 Chestnut StUniversity CityPhiladelphia, PA 19104",Sang Kee Noodle House,http://s3-media3.ak.yelpcdn.com/bphoto/yjb4s-xscSicY8WruvNgcg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/sang-kee-noodle-house-philadelphia-2,22,3,-75.194077,39.954622
5iUtqb6ONRcrnlBKic3g9A,University City,5iUtqb6ONRcrnlBKic3g9A,"2955 Market StUniversity CityPhiladelphia, PA 19104",The Porch At 30th Street Station,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/the-porch-at-30th-street-station-philadelphia,2,4.5,-75.185108,39.954622
5N9nJbymj9JtOAEx6ZMxpg,University City,5N9nJbymj9JtOAEx6ZMxpg,"N 33rd St & Arch StPowelton VillagePhiladelphia, PA 19104",The Spot Food Truck,http://s3-media2.ak.yelpcdn.com/bphoto/gVq3y2gmWN6H7Q4DdwpA7g/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/the-spot-food-truck-philadelphia,15,4.5,-75.1890664,39.9576073
5vAtunQlPFkfdTI9zn4TIw,University City,5vAtunQlPFkfdTI9zn4TIw,"Powelton VillagePhiladelphia, PA 19104",Pitruco Pizza,http://s3-media3.ak.yelpcdn.com/bphoto/UXqdHXaa17ufXLkGck99Fg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/pitruco-pizza-philadelphia,42,4.5,-75.1953934,39.9583587
